Action,Time,Sensor,
Movement,"October 24, 2016 at 02:52PM",Motion Sensor,
Closed,"October 24, 2016 at 02:52PM",Wireless Lab door,
Open,"October 24, 2016 at 02:51PM",Wireless Lab door,
Movement,"October 24, 2016 at 02:52PM",Motion Sensor,
Movement,"October 24, 2016 at 02:53PM",Motion Sensor,
Movement,"October 24, 2016 at 02:54PM",Motion Sensor,
Movement,"October 24, 2016 at 02:54PM",Motion Sensor,
Movement,"October 24, 2016 at 02:56PM",Motion Sensor,
Movement,"October 24, 2016 at 02:56PM",Motion Sensor,
Movement,"October 24, 2016 at 02:57PM",Motion Sensor,
Movement,"October 24, 2016 at 02:57PM",Motion Sensor,
Open,"October 24, 2016 at 02:58PM",Wireless Lab door,
Closed,"October 24, 2016 at 02:58PM",Wireless Lab door,
Open,"October 24, 2016 at 02:58PM",Wireless Lab door,
Closed,"October 24, 2016 at 02:59PM",Wireless Lab door,
Movement,"October 24, 2016 at 02:59PM",Motion Sensor,
Movement,"October 24, 2016 at 03:00PM",Motion Sensor,
Movement,"October 24, 2016 at 03:05PM",Motion Sensor,
Movement,"October 24, 2016 at 03:33PM",Motion Sensor,
Movement,"October 24, 2016 at 03:37PM",Motion Sensor,
Movement,"October 24, 2016 at 03:42PM",Motion Sensor,
Movement,"October 24, 2016 at 03:43PM",Motion Sensor,
Movement,"October 24, 2016 at 03:57PM",Motion Sensor,
Movement,"October 24, 2016 at 03:57PM",Motion Sensor,
Movement,"October 24, 2016 at 04:08PM",Motion Sensor,
Movement,"October 24, 2016 at 04:09PM",Motion Sensor,
Movement,"October 24, 2016 at 04:11PM",Motion Sensor,
Movement,"October 24, 2016 at 04:11PM",Motion Sensor,
Movement,"October 24, 2016 at 04:12PM",Motion Sensor,
Movement,"October 24, 2016 at 04:12PM",Motion Sensor,
Movement,"October 24, 2016 at 04:16PM",Motion Sensor,
Movement,"October 24, 2016 at 04:18PM",Motion Sensor,
Movement,"October 24, 2016 at 04:18PM",Motion Sensor,
Movement,"October 24, 2016 at 04:19PM",Motion Sensor,
Movement,"October 24, 2016 at 04:20PM",Motion Sensor,
Movement,"October 24, 2016 at 04:21PM",Motion Sensor,
Movement,"October 24, 2016 at 04:22PM",Motion Sensor,
Open,"October 24, 2016 at 04:22PM",Wireless Lab door,
Closed,"October 24, 2016 at 04:22PM",Wireless Lab door,
Movement,"October 24, 2016 at 05:45PM",Motion Sensor,
Closed,"October 24, 2016 at 05:45PM",Wireless Lab door,
Movement,"October 24, 2016 at 05:45PM",Motion Sensor,
Movement,"October 24, 2016 at 05:45PM",Motion Sensor,
Movement,"October 24, 2016 at 05:46PM",Motion Sensor,
Movement,"October 24, 2016 at 05:47PM",Motion Sensor,
Movement,"October 24, 2016 at 05:48PM",Motion Sensor,
Movement,"October 24, 2016 at 05:49PM",Motion Sensor,
Movement,"October 24, 2016 at 05:50PM",Motion Sensor,
Movement,"October 24, 2016 at 05:50PM",Motion Sensor,
Movement,"October 24, 2016 at 05:51PM",Motion Sensor,
Movement,"October 24, 2016 at 05:52PM",Motion Sensor,
Movement,"October 24, 2016 at 05:52PM",Motion Sensor,
Movement,"October 24, 2016 at 05:53PM",Motion Sensor,
Movement,"October 24, 2016 at 05:53PM",Motion Sensor,
Movement,"October 24, 2016 at 05:54PM",Motion Sensor,
Movement,"October 24, 2016 at 05:54PM",Motion Sensor,
Movement,"October 24, 2016 at 05:54PM",Motion Sensor,
Movement,"October 24, 2016 at 05:55PM",Motion Sensor,
Movement,"October 24, 2016 at 05:55PM",Motion Sensor,
Open,"October 24, 2016 at 05:55PM",Wireless Lab door,
Closed,"October 24, 2016 at 05:55PM",Wireless Lab door,
Open,"October 24, 2016 at 05:58PM",Wireless Lab door,
Movement,"October 24, 2016 at 05:58PM",Motion Sensor,
Closed,"October 24, 2016 at 05:58PM",Wireless Lab door,
Movement,"October 24, 2016 at 06:00PM",Motion Sensor,
Movement,"October 24, 2016 at 06:00PM",Motion Sensor,
Movement,"October 24, 2016 at 06:02PM",Motion Sensor,
Movement,"October 24, 2016 at 06:03PM",Motion Sensor,
Movement,"October 24, 2016 at 06:03PM",Motion Sensor,
Movement,"October 24, 2016 at 06:10PM",Motion Sensor,
Movement,"October 24, 2016 at 06:12PM",Motion Sensor,
Movement,"October 24, 2016 at 06:13PM",Motion Sensor,
Movement,"October 24, 2016 at 06:14PM",Motion Sensor,
Movement,"October 24, 2016 at 06:15PM",Motion Sensor,
Movement,"October 24, 2016 at 06:50PM",Motion Sensor,
Movement,"October 24, 2016 at 06:50PM",Motion Sensor,
Movement,"October 24, 2016 at 06:50PM",Motion Sensor,
Open,"October 24, 2016 at 06:51PM",Wireless Lab door,
Closed,"October 24, 2016 at 06:51PM",Wireless Lab door,
Open,"October 25, 2016 at 01:43AM",Wireless Lab door,
Closed,"October 25, 2016 at 01:43AM",Wireless Lab door,
Movement,"October 25, 2016 at 10:27AM",Motion Sensor,
Closed,"October 25, 2016 at 10:27AM",Wireless Lab door,
Movement,"October 25, 2016 at 10:29AM",Motion Sensor,
Movement,"October 25, 2016 at 10:31AM",Motion Sensor,
Movement,"October 25, 2016 at 10:32AM",Motion Sensor,
Movement,"October 25, 2016 at 10:32AM",Motion Sensor,
Movement,"October 25, 2016 at 10:35AM",Motion Sensor,
Movement,"October 25, 2016 at 10:47AM",Motion Sensor,
Movement,"October 25, 2016 at 11:39AM",Motion Sensor,
Movement,"October 25, 2016 at 11:40AM",Motion Sensor,
Movement,"October 25, 2016 at 11:41AM",Motion Sensor,
Open,"October 25, 2016 at 11:41AM",Wireless Lab door,
Closed,"October 25, 2016 at 11:41AM",Wireless Lab door,
Open,"October 25, 2016 at 11:59AM",Wireless Lab door,Alissa and Brock Enter the Lab to hack stuff
Movement,"October 25, 2016 at 11:59AM",Motion Sensor,
Closed,"October 25, 2016 at 11:59AM",Wireless Lab door,
Movement,"October 25, 2016 at 12:00PM",Motion Sensor,
Movement,"October 25, 2016 at 12:01PM",Motion Sensor,
Movement,"October 25, 2016 at 12:01PM",Motion Sensor,
Movement,"October 25, 2016 at 12:01PM",Motion Sensor,
Movement,"October 25, 2016 at 12:02PM",Motion Sensor,
Closed,"October 25, 2016 at 12:02PM",Wireless Lab door,Smith Scarred hackers away
Open,"October 25, 2016 at 12:03PM",Wireless Lab door,
Movement,"October 25, 2016 at 12:04PM",Motion Sensor,
Closed,"October 25, 2016 at 12:06PM",Wireless Lab door,
Movement,"October 25, 2016 at 12:07PM",Motion Sensor,
Movement,"October 25, 2016 at 12:07PM",Motion Sensor,
Open,"October 25, 2016 at 12:07PM",Wireless Lab door,
Closed,"October 25, 2016 at 12:08PM",Wireless Lab door,Smith left
Open,"October 25, 2016 at 01:18PM",Wireless Lab door,
Closed,"October 25, 2016 at 01:18PM",Wireless Lab door,
Movement,"October 25, 2016 at 01:19PM",Motion Sensor,
Movement,"October 25, 2016 at 01:19PM",Motion Sensor,
Movement,"October 25, 2016 at 01:20PM",Motion Sensor,
Movement,"October 25, 2016 at 01:20PM",Motion Sensor,
Movement,"October 25, 2016 at 01:20PM",Motion Sensor,
Movement,"October 25, 2016 at 01:21PM",Motion Sensor,
Movement,"October 25, 2016 at 01:22PM",Motion Sensor,
Movement,"October 25, 2016 at 01:22PM",Motion Sensor,
Open,"October 25, 2016 at 01:22PM",Wireless Lab door,
Closed,"October 25, 2016 at 01:22PM",Wireless Lab door,
Movement,"October 25, 2016 at 03:12PM",Motion Sensor,
Closed,"October 25, 2016 at 03:12PM",Wireless Lab door,
Movement,"October 25, 2016 at 03:14PM",Motion Sensor,
Movement,"October 25, 2016 at 03:14PM",Motion Sensor,
Movement,"October 25, 2016 at 03:14PM",Motion Sensor,
Movement,"October 25, 2016 at 03:15PM",Motion Sensor,
Movement,"October 25, 2016 at 03:16PM",Motion Sensor,
Open,"October 25, 2016 at 03:16PM",Wireless Lab door,
Closed,"October 25, 2016 at 03:16PM",Wireless Lab door,
Open,"October 25, 2016 at 03:20PM",Wireless Lab door,
Closed,"October 25, 2016 at 03:20PM",Wireless Lab door,
Movement,"October 25, 2016 at 03:21PM",Motion Sensor,
Movement,"October 25, 2016 at 03:23PM",Motion Sensor,
Movement,"October 25, 2016 at 03:24PM",Motion Sensor,
Open,"October 25, 2016 at 03:27PM",Wireless Lab door,
Closed,"October 25, 2016 at 03:28PM",Wireless Lab door,
Movement,"October 25, 2016 at 03:29PM",Motion Sensor,
Movement,"October 25, 2016 at 03:29PM",Motion Sensor,
Movement,"October 25, 2016 at 03:29PM",Motion Sensor,
Movement,"October 25, 2016 at 03:30PM",Motion Sensor,
Movement,"October 25, 2016 at 03:30PM",Motion Sensor,
Movement,"October 25, 2016 at 03:31PM",Motion Sensor,
Movement,"October 25, 2016 at 03:31PM",Motion Sensor,
Movement,"October 25, 2016 at 03:32PM",Motion Sensor,
Movement,"October 25, 2016 at 03:33PM",Motion Sensor,
Movement,"October 25, 2016 at 03:33PM",Motion Sensor,
Movement,"October 25, 2016 at 03:33PM",Motion Sensor,
Movement,"October 25, 2016 at 03:34PM",Motion Sensor,
Movement,"October 25, 2016 at 03:35PM",Motion Sensor,
Movement,"October 25, 2016 at 03:35PM",Motion Sensor,
Movement,"October 25, 2016 at 03:36PM",Motion Sensor,
Movement,"October 25, 2016 at 03:36PM",Motion Sensor,
Movement,"October 25, 2016 at 03:37PM",Motion Sensor,
Movement,"October 25, 2016 at 03:37PM",Motion Sensor,
Movement,"October 25, 2016 at 03:38PM",Motion Sensor,
Movement,"October 25, 2016 at 03:59PM",Motion Sensor,
Movement,"October 25, 2016 at 04:00PM",Motion Sensor,
Movement,"October 25, 2016 at 04:01PM",Motion Sensor,
Movement,"October 25, 2016 at 04:02PM",Motion Sensor,
Movement,"October 25, 2016 at 04:07PM",Motion Sensor,
Movement,"October 25, 2016 at 04:09PM",Motion Sensor,
Movement,"October 25, 2016 at 04:09PM",Motion Sensor,
Movement,"October 25, 2016 at 04:09PM",Motion Sensor,
Movement,"October 25, 2016 at 04:11PM",Motion Sensor,
Movement,"October 25, 2016 at 04:23PM",Motion Sensor,
Movement,"October 25, 2016 at 04:24PM",Motion Sensor,
Closed,"October 25, 2016 at 04:24PM",Wireless Lab door,
Open,"October 25, 2016 at 04:24PM",Wireless Lab door,
Closed,"October 25, 2016 at 04:24PM",Wireless Lab door,
Movement,"October 25, 2016 at 04:25PM",Motion Sensor,
Movement,"October 25, 2016 at 04:26PM",Motion Sensor,
Movement,"October 25, 2016 at 04:27PM",Motion Sensor,
Movement,"October 25, 2016 at 04:27PM",Motion Sensor,
Movement,"October 25, 2016 at 04:27PM",Motion Sensor,
Movement,"October 25, 2016 at 04:28PM",Motion Sensor,
Movement,"October 25, 2016 at 04:28PM",Motion Sensor,
Movement,"October 25, 2016 at 04:30PM",Motion Sensor,
Movement,"October 25, 2016 at 04:30PM",Motion Sensor,
Movement,"October 25, 2016 at 04:31PM",Motion Sensor,
Movement,"October 25, 2016 at 04:31PM",Motion Sensor,
Movement,"October 25, 2016 at 04:31PM",Motion Sensor,
Movement,"October 25, 2016 at 04:33PM",Motion Sensor,
Movement,"October 25, 2016 at 04:33PM",Motion Sensor,
Movement,"October 25, 2016 at 04:34PM",Motion Sensor,
Movement,"October 25, 2016 at 04:35PM",Motion Sensor,
Movement,"October 25, 2016 at 04:35PM",Motion Sensor,
Movement,"October 25, 2016 at 04:35PM",Motion Sensor,
Movement,"October 25, 2016 at 04:35PM",Motion Sensor,
Movement,"October 25, 2016 at 04:36PM",Motion Sensor,
Movement,"October 25, 2016 at 04:36PM",Motion Sensor,
Movement,"October 25, 2016 at 04:36PM",Motion Sensor,
Movement,"October 25, 2016 at 04:37PM",Motion Sensor,
Movement,"October 25, 2016 at 04:38PM",Motion Sensor,
Movement,"October 25, 2016 at 04:38PM",Motion Sensor,
Movement,"October 25, 2016 at 04:38PM",Motion Sensor,
Movement,"October 25, 2016 at 04:39PM",Motion Sensor,
Movement,"October 25, 2016 at 04:39PM",Motion Sensor,
Movement,"October 25, 2016 at 04:40PM",Motion Sensor,
Movement,"October 25, 2016 at 04:41PM",Motion Sensor,
Movement,"October 25, 2016 at 04:42PM",Motion Sensor,
Movement,"October 25, 2016 at 04:42PM",Motion Sensor,
Movement,"October 25, 2016 at 04:44PM",Motion Sensor,
Movement,"October 25, 2016 at 04:45PM",Motion Sensor,
Movement,"October 25, 2016 at 04:45PM",Motion Sensor,
Open,"October 25, 2016 at 04:45PM",Wireless Lab door,
Closed,"October 25, 2016 at 04:45PM",Wireless Lab door,
Movement,"October 25, 2016 at 05:04PM",Motion Sensor,
Movement,"October 25, 2016 at 05:12PM",Motion Sensor,
Movement,"October 25, 2016 at 05:12PM",Motion Sensor,
Movement,"October 25, 2016 at 05:13PM",Motion Sensor,
Movement,"October 25, 2016 at 05:14PM",Motion Sensor,
Movement,"October 25, 2016 at 05:14PM",Motion Sensor,
Movement,"October 25, 2016 at 05:15PM",Motion Sensor,
Movement,"October 25, 2016 at 05:15PM",Motion Sensor,
Open,"October 25, 2016 at 05:16PM",Wireless Lab door,
Closed,"October 25, 2016 at 05:16PM",Wireless Lab door,
Open,"October 26, 2016 at 01:50AM",Wireless Lab door,
Movement,"October 26, 2016 at 01:50AM",Motion Sensor,
Movement,"October 26, 2016 at 01:51AM",Motion Sensor,
Movement,"October 26, 2016 at 01:51AM",Motion Sensor,
Movement,"October 26, 2016 at 01:52AM",Motion Sensor,
Movement,"October 26, 2016 at 01:52AM",Motion Sensor,
Closed,"October 26, 2016 at 01:53AM",Wireless Lab door,
Movement,"October 26, 2016 at 09:59AM",Motion Sensor,
Closed,"October 26, 2016 at 09:59AM",Wireless Lab door,
Movement,"October 26, 2016 at 10:21AM",Motion Sensor,
Closed,"October 26, 2016 at 10:21AM",Wireless Lab door,
Movement,"October 26, 2016 at 10:21AM",Motion Sensor,
Movement,"October 26, 2016 at 10:22AM",Motion Sensor,
Open,"October 26, 2016 at 10:22AM",Wireless Lab door,
Closed,"October 26, 2016 at 10:22AM",Wireless Lab door,
Open,"October 26, 2016 at 04:41PM",Wireless Lab door,
Closed,"October 26, 2016 at 04:41PM",Wireless Lab door,
Movement,"October 26, 2016 at 05:31PM",Motion Sensor,
Closed,"October 26, 2016 at 05:31PM",Wireless Lab door,
Movement,"October 26, 2016 at 05:32PM",Motion Sensor,
Movement,"October 26, 2016 at 05:33PM",Motion Sensor,
Movement,"October 26, 2016 at 05:33PM",Motion Sensor,
Movement,"October 26, 2016 at 05:34PM",Motion Sensor,
Movement,"October 26, 2016 at 05:34PM",Motion Sensor,
Movement,"October 26, 2016 at 05:34PM",Motion Sensor,
Movement,"October 26, 2016 at 05:35PM",Motion Sensor,
Movement,"October 26, 2016 at 05:35PM",Motion Sensor,
Movement,"October 26, 2016 at 05:37PM",Motion Sensor,
Movement,"October 26, 2016 at 05:42PM",Motion Sensor,
Movement,"October 26, 2016 at 05:42PM",Motion Sensor,
Open,"October 26, 2016 at 05:43PM",Wireless Lab door,
Closed,"October 26, 2016 at 05:43PM",Wireless Lab door,
Open,"October 27, 2016 at 05:25AM",Wireless Lab door,
Closed,"October 27, 2016 at 05:25AM",Wireless Lab door,
Movement,"October 27, 2016 at 10:33AM",Motion Sensor,
Closed,"October 27, 2016 at 10:33AM",Wireless Lab door,
Open,"October 27, 2016 at 10:45AM",Wireless Lab door,
Closed,"October 27, 2016 at 10:45AM",Wireless Lab door,
Movement,"October 27, 2016 at 10:47AM",Motion Sensor,
Closed,"October 27, 2016 at 10:47AM",Wireless Lab door,
Open,"October 27, 2016 at 11:07AM",Wireless Lab door,
Movement,"October 27, 2016 at 11:07AM",Motion Sensor,
Movement,"October 27, 2016 at 11:08AM",Motion Sensor,
Movement,"October 27, 2016 at 11:09AM",Motion Sensor,
Open,"October 27, 2016 at 11:09AM",Wireless Lab door,
Closed,"October 27, 2016 at 11:09AM",Wireless Lab door,
Movement,"October 27, 2016 at 11:10AM",Motion Sensor,
Movement,"October 27, 2016 at 11:11AM",Motion Sensor,
Open,"October 27, 2016 at 11:11AM",Wireless Lab door,
Closed,"October 27, 2016 at 11:11AM",Wireless Lab door,
Open,"October 27, 2016 at 11:11AM",Wireless Lab door,
Closed,"October 27, 2016 at 11:12AM",Wireless Lab door,
Open,"October 27, 2016 at 11:13AM",Wireless Lab door,
Movement,"October 27, 2016 at 11:14AM",Motion Sensor,
Closed,"October 27, 2016 at 11:14AM",Wireless Lab door,
Movement,"October 27, 2016 at 11:29AM",Motion Sensor,
Movement,"October 27, 2016 at 11:29AM",Motion Sensor,
Movement,"October 27, 2016 at 11:36AM",Motion Sensor,
Open,"October 27, 2016 at 11:36AM",Wireless Lab door,
Closed,"October 27, 2016 at 11:36AM",Wireless Lab door,
Movement,"October 27, 2016 at 11:44AM",Motion Sensor,
Closed,"October 27, 2016 at 11:44AM",Wireless Lab door,
Movement,"October 27, 2016 at 11:45AM",Motion Sensor,
Open,"October 27, 2016 at 11:46AM",Wireless Lab door,
Closed,"October 27, 2016 at 11:46AM",Wireless Lab door,
Closed,"October 27, 2016 at 12:14PM",Wireless Lab door,
Movement,"October 27, 2016 at 12:14PM",Motion Sensor,
Movement,"October 27, 2016 at 12:15PM",Motion Sensor,
Movement,"October 27, 2016 at 12:15PM",Motion Sensor,
Movement,"October 27, 2016 at 12:17PM",Motion Sensor,
Closed,"October 27, 2016 at 12:17PM",Wireless Lab door,
Open,"October 27, 2016 at 01:55PM",Wireless Lab door,
Closed,"October 27, 2016 at 01:56PM",Wireless Lab door,
Open,"October 27, 2016 at 02:59PM",Wireless Lab door,
Movement,"October 27, 2016 at 03:00PM",Motion Sensor,
Movement,"October 27, 2016 at 03:01PM",Motion Sensor,
Movement,"October 27, 2016 at 03:04PM",Motion Sensor,
Open,"October 27, 2016 at 03:04PM",Wireless Lab door,
Closed,"October 27, 2016 at 03:04PM",Wireless Lab door,
Open,"October 27, 2016 at 03:07PM",Wireless Lab door,
Open,"October 27, 2016 at 03:10PM",Wireless Lab door,
Closed,"October 27, 2016 at 03:10PM",Wireless Lab door,
Movement,"October 27, 2016 at 03:13PM",Motion Sensor,
Movement,"October 27, 2016 at 03:13PM",Motion Sensor,
Movement,"October 27, 2016 at 03:13PM",Motion Sensor,
Movement,"October 27, 2016 at 03:14PM",Motion Sensor,
Movement,"October 27, 2016 at 03:15PM",Motion Sensor,
Movement,"October 27, 2016 at 03:15PM",Motion Sensor,
Movement,"October 27, 2016 at 03:15PM",Motion Sensor,
Open,"October 27, 2016 at 03:15PM",Wireless Lab door,
Closed,"October 27, 2016 at 03:15PM",Wireless Lab door,
Movement,"October 27, 2016 at 03:16PM",Motion Sensor,
Closed,"October 27, 2016 at 03:16PM",Wireless Lab door,
Movement,"October 27, 2016 at 03:17PM",Motion Sensor,
Movement,"October 27, 2016 at 03:18PM",Motion Sensor,
Movement,"October 27, 2016 at 03:18PM",Motion Sensor,
Movement,"October 27, 2016 at 03:20PM",Motion Sensor,
Movement,"October 27, 2016 at 03:21PM",Motion Sensor,
Movement,"October 27, 2016 at 03:21PM",Motion Sensor,
Movement,"October 27, 2016 at 03:22PM",Motion Sensor,
Movement,"October 27, 2016 at 03:22PM",Motion Sensor,
Movement,"October 27, 2016 at 03:23PM",Motion Sensor,
Movement,"October 27, 2016 at 03:23PM",Motion Sensor,
Movement,"October 27, 2016 at 03:24PM",Motion Sensor,
Movement,"October 27, 2016 at 03:24PM",Motion Sensor,
Movement,"October 27, 2016 at 03:25PM",Motion Sensor,
Movement,"October 27, 2016 at 03:26PM",Motion Sensor,
Movement,"October 27, 2016 at 03:26PM",Motion Sensor,
Movement,"October 27, 2016 at 03:27PM",Motion Sensor,
Movement,"October 27, 2016 at 03:27PM",Motion Sensor,
Movement,"October 27, 2016 at 03:27PM",Motion Sensor,
Movement,"October 27, 2016 at 03:28PM",Motion Sensor,
Movement,"October 27, 2016 at 03:28PM",Motion Sensor,
Movement,"October 27, 2016 at 03:28PM",Motion Sensor,
Movement,"October 27, 2016 at 03:29PM",Motion Sensor,
Movement,"October 27, 2016 at 03:29PM",Motion Sensor,
Movement,"October 27, 2016 at 03:31PM",Motion Sensor,
Movement,"October 27, 2016 at 03:32PM",Motion Sensor,
Movement,"October 27, 2016 at 03:32PM",Motion Sensor,
Movement,"October 27, 2016 at 03:33PM",Motion Sensor,
Movement,"October 27, 2016 at 03:34PM",Motion Sensor,
Movement,"October 27, 2016 at 03:34PM",Motion Sensor,
Movement,"October 27, 2016 at 03:35PM",Motion Sensor,
Movement,"October 27, 2016 at 03:35PM",Motion Sensor,
Movement,"October 27, 2016 at 03:35PM",Motion Sensor,
